iter	Passed	Remaining
540	11434	9701
541	11454	9679
542	11479	9661
543	11498	9638
544	11517	9615
545	11533	9590
546	11554	9568
547	11573	9546
548	11595	9525
549	11615	9503
550	11640	9485
551	11661	9464
552	11679	9441
553	11702	9420
554	11723	9400
555	11743	9378
556	11760	9353
557	11781	9332
558	11803	9312
559	11825	9291
560	11847	9270
561	11864	9246
562	11883	9224
563	11904	9203
564	11926	9182
565	11945	9159
566	11966	9138
567	11982	9113
568	12002	9091
569	12023	9070
570	12044	9049
571	12065	9027
572	12086	9006
573	12105	8983
574	12123	8960
575	12142	8937
576	12158	8913
577	12177	8891
578	12198	8869
579	12219	8848
580	12242	8829
581	12261	8806
582	12282	8785
583	12303	8763
584	12324	8743
585	12346	8722
586	12365	8700
587	12386	8678
588	12408	8658
589	12429	8637
590	12449	8615
591	12473	8596
592	12495	8576
593	12518	8556
594	12536	8533
595	12559	8513
596	12578	8490
597	12595	8467
598	12614	8444
599	12633	8422
600	12652	8399
601	12674	8379
602	12695	8358
603	12713	8335
604	12735	8314
605	12753	8292
606	12771	8268
607	12789	8246
608	12810	8224
609	12831	8203
610	12850	8181
611	12873	8161
612	12892	8139
613	12915	8119
614	12937	8098
615	12959	8078
616	12978	8056
617	12998	8034
618	13015	8011
619	13036	7990
620	13055	7968
621	13078	7947
622	13100	7927
623	13124	7908
624	13144	7886
625	13163	7864
626	13182	7842
627	13200	7819
628	13221	7798
629	13244	7778
630	13264	7756
631	13285	7735
632	13307	7715
633	13324	7691
634	13344	7670
635	13362	7647
636	13379	7624
637	13400	7603
638	13418	7580
639	13439	7559
640	13457	7536
641	13473	7513
642	13495	7492
643	13520	7473
644	13540	7452
645	13559	7430
646	13580	7409
647	13599	7387
648	13618	7365
649	13639	7344
650	13660	7323
651	13682	7302
652	13701	7280
653	13720	7258
654	13742	7238
655	13759	7215
656	13779	7193
657	13795	7170
658	13815	7148
659	13834	7127
660	13853	7104
661	13871	7082
662	13890	7060
663	13912	7040
664	13936	7020
665	13955	6998
666	13975	6977
667	13995	6955
668	14017	6935
669	14036	6913
670	14056	6891
671	14072	6868
672	14089	6845
673	14110	6824
674	14128	6802
675	14149	6781
676	14168	6759
677	14189	6739
678	14209	6717
679	14228	6695
680	14245	6673
681	14266	6651
682	14287	6631
683	14303	6607
684	14319	6584
685	14341	6564
686	14362	6543
687	14383	6522
688	14406	6502
689	14424	6480
690	14442	6458
691	14464	6437
692	14483	6416
693	14506	6396
694	14527	6375
695	14550	6355
696	14567	6332
697	14590	6312
698	14605	6289
699	14626	6268
700	14647	6247
701	14668	6226
702	14685	6204
703	14706	6183
704	14728	6162
705	14749	6141
706	14768	6120
707	14786	6098
708	14809	6078
709	14831	6057
710	14852	6037
711	14876	6017
712	14894	5995
713	14916	5975
714	14938	5954
715	14958	5933
716	14979	5912
717	14998	5890
718	15018	5869
719	15039	5848
720	15061	5828
721	15081	5806
722	15098	5784
723	15118	5763
724	15137	5741
725	15155	5720
726	15180	5700
727	15199	5679
728	15221	5658
729	15242	5637
730	15261	5616
731	15283	5595
732	15305	5575
733	15322	5553
734	15340	5530
735	15359	5509
736	15381	5488
737	15401	5467
738	15426	5448
739	15445	5426
740	15465	5405
741	15486	5384
742	15504	5362
743	15521	5340
744	15541	5319
745	15560	5298
746	15578	5276
747	15599	5255
748	15620	5234
749	15642	5214
750	15664	5193
751	15685	5172
752	15705	5151
753	15728	5131
754	15746	5109
755	15767	5089
756	15788	5068
757	15808	5047
758	15830	5026
759	15849	5005
760	15867	4983
761	15886	4961
762	15906	4940
763	15927	4920
764	15948	4899
765	15966	4877
766	15981	4855
767	16000	4833
768	16022	4813
769	16044	4792
770	16065	4771
771	16084	4750
772	16105	4729
773	16123	4707
774	16140	4686
775	16162	4665
776	16180	4643
777	16198	4622
778	16218	4601
779	16238	4580
780	16263	4560
781	16287	4540
782	16318	4522
783	16344	4502
784	16376	4485
785	16405	4466
786	16425	4445
787	16444	4424
788	16469	4404
789	16492	4384
790	16516	4364
791	16535	4342
792	16557	4322
793	16575	4300
794	16596	4279
795	16620	4259
796	16641	4238
797	16659	4217
798	16684	4197
799	16709	4177
800	16732	4157
801	16751	4135
802	16771	4114
803	16793	4093
804	16817	4073
805	16840	4053
806	16859	4032
807	16896	4014
808	16945	4000
